ts_code,open,high,low,close,pct_chg,vol,amount,volume_obv,volume_cmf,volume_vpt,volume_vwap,volume_mfi,volatility_bbw,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_adx,trend_adx_pos,trend_adx_neg,momentum_rsi,momentum_wr,momentum_roc,momentum_ao,momentum_ppo_hist,trend_cci,trend_aroon_up,trend_aroon_down,trend_aroon_ind
603881.SH,25.09,25.68,24.9,25.36,0.9152,248307.78,630688.866,1555935.72,0.169958501,-8553.340265,26.17986788,40.78112915,17.41815343,1.20816222,8.574600664,-0.408987222,-0.269245994,-0.139741228,0,22.93382989,18.90178585,44.17606001,-68.8976378,-9.396212933,-1.125111111,-0.539328658,-58.49967665,16,52,-36
603881.SH,25.04,25.64,24.88,25.13,-0.0795,278760.35,703480.821,1277175.37,0.153459971,-11081.52956,25.92514869,32.15614529,17.37932979,1.163345998,8.998964492,-0.415436298,-0.298484055,-0.116952243,0,21.92619966,18.18693132,42.44206039,-68.00947867,-6.161314414,-0.841526316,-0.454481413,-61.71849849,16,52,-36
603881.SH,24.61,25.33,24.61,25.15,2.444,303385.47,758782.365,1580560.84,0.165200033,-10840.07674,25.67477827,35.00164469,17.29351898,1.119011398,9.184923584,-0.414159235,-0.321619091,-0.092540144,0,20.98550721,19.01551348,42.65285556,-63.94736842,-6.886338393,-0.741,-0.36251729,-70.57124704,16,52,-36
603881.SH,23.53,24.6,23.43,24.55,4.7802,268123.86,650875.737,1312436.98,0.209587155,-17236.66982,25.49293968,36.66885673,18.0589633,1.179110258,9.422277376,-0.456302171,-0.348555707,-0.107746464,0,18.89950244,23.94478094,38.14008724,-71.20822622,-6.010719755,-0.916285714,-0.425679764,-113.671275,16,80,-64
603881.SH,22.8,23.49,22.8,23.43,0.7309,126277.01,294205.063,1186159.97,0.198799411,-22997.57618,25.2899131,40.82653102,19.8273551,1.236199232,9.827805266,-0.573464846,-0.393537535,-0.179927311,0,17.04322884,25.12882189,31.45082243,-84.25,-11.11532625,-1.266727273,-0.716231132,-155.7385508,16,84,-68
603881.SH,23.82,23.88,23.25,23.26,-2.351,147142.25,345032.206,1039017.72,0.240657649,-24065.1896,25.151353,46.59825106,21.27500783,1.175579309,10.14975096,-0.672285006,-0.449287029,-0.222997977,0,18.68882306,24.20705571,30.57428866,-88.5,-10.40061633,-1.514434783,-0.896086302,-132.6126354,16,84,-68
603881.SH,24.44,24.63,23.75,23.82,-2.4969,161509.51,389205.464,1200527.23,0.205338966,-20176.74052,24.95499337,40.59398864,20.77036601,1.195021378,10.2577055,-0.697374476,-0.498904518,-0.198469958,0,21.54112749,22.29207729,36.82076103,-72.20708447,-3.87409201,-1.665291667,-0.806137523,-88.77679413,16,84,-68
603881.SH,24.24,24.7,24,24.43,0.4523,156739.35,381877.847,1357266.58,0.24413656,-16162.84449,24.83815932,49.24726241,18.84804921,1.16351924,10.13781442,-0.660423212,-0.531208257,-0.129214955,0,20.8362063,21.13548342,42.85244565,-55.58583106,-4.719188768,-1.7376,-0.533522168,-61.13317896,16,84,-68
603881.SH,24.7,24.77,24.2,24.32,-1.4587,138457.38,337640.494,1218809.2,0.146064426,-16786.27109,24.840385,59.18876758,16.36987629,1.104167316,9.739401544,-0.63272153,-0.551510912,-0.081210618,0,20.53738415,20.39727439,42.07241933,-58.58310627,1.080631754,-1.601076923,-0.344502131,-49.91735537,16,84,-68
603881.SH,24,24.76,23.95,24.68,1.189,142158.5,349200.445,1360967.7,0.215136753,-14681.95119,24.6176967,46.21982199,15.23124724,1.074750585,9.504267453,-0.575089482,-0.556226626,-0.018862857,0,19.49532472,20.92836227,45.56469715,-35.17241379,0.529531568,-1.314888889,-0.095161454,-40.21690014,12,80,-68
603881.SH,24.91,24.91,24.35,24.39,-2.0875,180467.72,443117.778,1180499.98,0.137482906,-16802.52002,24.66120916,53.78778853,13.42573115,1.023275526,8.787842376,-0.546516345,-0.55428457,0.007768224,8.442831607,19.76071283,20.1665184,43.30009248,-45.17241379,-3.214285714,-1.070678571,0.010936259,-25.67673647,8,76,-68
603881.SH,29.81,30.19,29.67,29.94,-0.1334,112436.32,336909.552,1292936.3,0.158194714,8782.620445,24.88698575,53.34253733,21.90303518,1.500947974,8.12365534,-0.075166835,-0.458461023,0.383294187,11.23579446,40.34289033,14.34290529,71.99089874,-3.382949932,17.18199609,-0.07637931,1.515326836,380.3200872,100,72,28
603881.SH,30,30.3,29.69,29.98,-0.2329,138625.01,416261.946,1431561.31,0.143794083,8967.824199,25.13406778,53.51197488,27.40433573,1.411853176,7.650274105,0.298171576,-0.307134503,0.605306079,13.8692399,39.63629243,13.88864174,72.1004731,-4.266666667,18.21766562,0.907,2.373839996,295.4922312,100,68,32
603881.SH,31.18,31.23,29.59,30.05,-2.6563,238192.18,718414.859,1669753.49,0.040793852,9523.976721,25.56966795,55.07899988,31.81041681,1.434667859,7.264282487,0.59285926,-0.12713575,0.719995011,16.64282182,41.07021508,12.72203116,72.30466528,-13.99762752,19.57819339,1.942387097,2.791218884,230.6479335,100,64,36
603881.SH,30.64,31.18,30.31,30.87,1.2795,233228.89,717306.414,1902982.38,0.033285195,15888.29252,26.05734757,64.85404963,36.3444125,1.404201073,6.790587387,0.882396799,0.074770759,0.807626039,19.21829075,38.66056693,11.97561143,74.64563356,-4.270462633,22.74353877,3.06965625,3.084390391,186.3999608,96,60,36
603881.SH,30.45,30.98,29.9,30.48,0.7603,302213.2,918025.739,1600769.18,-0.028910451,12070.24432,26.64734342,62.85664354,39.39058103,1.371780965,6.226435397,1.068075533,0.273431714,0.794643819,21.13737069,36.45885893,13.45558352,71.54805602,-8.896797153,24.15478615,4.09930303,2.993052817,138.3527476,92,56,36
603881.SH,29.15,30.5,28.99,30.25,4.0234,364947.4,1090594.049,1235821.78,0.0342713,9316.376143,27.26810767,60.03058395,40.79910055,1.385602869,5.972383304,1.183030946,0.455351561,0.727679385,21.94041983,33.57945238,17.15243686,69.71081616,-11.62514828,29.10798122,3.958176471,2.704273522,102.3011693,88,52,36
603881.SH,28.87,29.58,28.6,29.08,1.5718,205621.43,601106.042,1030200.35,0.051897802,1363.415049,27.72065591,60.44436579,40.99824089,1.412042582,5.669737335,1.166280561,0.597537361,0.5687432,22.29366548,30.72403351,17.70379567,61.11376052,-25.50415184,25.02149613,3.702617647,2.09428699,69.23564311,84,48,36
603881.SH,28.27,28.95,28.27,28.63,0.2451,117436.77,337200.561,912763.58,0.083574993,-453.8664673,27.97491272,60.09562803,41.04903048,1.351838324,5.20401892,1.103968657,0.69882362,0.405145037,22.2914016,29.40224356,18.69487656,58.14371125,-32.58145363,20.19311503,3.287176471,1.478935492,50.70597828,80,44,36
603881.SH,29.24,29.24,28.48,28.56,-2.8571,146974.81,421350.567,765788.77,0.049941066,-813.218081,28.27018726,60.50991309,41.07399105,1.292654491,4.604634758,1.036983904,0.766455677,0.270528228,22.47441502,29.76700223,17.91605174,57.67416737,-35.69518717,16.90544413,2.870323529,0.976027617,48.99400757,76,40,36
603881.SH,28.98,29.5,28.98,29.4,1.4493,143467.96,420654.745,909256.73,0.062474003,3406.427801,28.58522261,60.67629399,41.26449099,1.257389042,4.23892256,1.039694039,0.821103349,0.21859069,22.81174194,29.65620864,16.97415296,61.67392532,-25.13736264,20.88815789,2.584441176,0.772103894,56.33883822,72,36,36
603881.SH,29.25,29.51,28.89,28.98,-1.0584,133679.86,389613.927,775576.87,0.065015707,1496.715516,28.86699804,55.52254027,40.91036405,1.193650138,4.365220837,0.996464726,0.856175625,0.140289101,23.02056898,28.58862073,16.88566705,58.68765155,-30.90659341,17.42301459,2.446323529,0.48063542,47.46716351,68,32,36
603881.SH,29.79,29.82,29.24,29.29,-1.6784,121295.63,356560.933,896872.5,-0.002108339,2794.218804,29.13244485,55.63473011,40.49722273,1.158285124,4.362702922,0.975969227,0.880134345,0.095834882,23.43135127,29.00362257,16.04301867,60.21875144,-26.64835165,20.0902009,2.468294118,0.312594428,50.75368491,64,28,36
603881.SH,29.5,30.1,29.32,29.79,0.9831,165582.66,491551.93,1062455.16,-0.062934059,5620.826179,29.42574467,56.47202106,39.59160249,1.123456612,4.367981295,0.988675384,0.901842553,0.086832831,24.00738109,29.27777051,15.25259088,62.624778,-20.93023256,-0.501002004,2.610794118,0.271258135,53.5910196,60,24,36
603881.SH,30.24,30.49,29.5,29.5,-2.6081,187370.34,560662.551,875084.82,-0.144301533,3796.811456,29.79174753,57.1204354,36.93240957,1.110110951,4.360476067,0.96422949,0.91431994,0.04990955,24.80775495,29.89385255,14.323697,60.34508388,-58.44594595,-1.601067378,2.733970588,0.135212546,52.52657957,56,20,36
603881.SH,30.68,30.83,30.25,30.29,-1.2712,136958.03,417388.534,1012042.85,-0.137799735,7464.501073,29.82025974,57.56000641,33.70837196,1.132099856,4.389293684,0.997108298,0.930877612,0.066230686,25.77526523,29.54323545,13.16383569,64.17134545,-31.75675676,0.798668885,2.865441176,0.18505116,69.15081116,52,16,36
603881.SH,30.91,31.02,30.62,30.68,-1.5088,167980.87,516452.62,1180023.72,-0.132389194,9627.344892,29.87150569,58.09951155,30.6816707,1.09188987,4.392374948,1.042616101,0.95322531,0.089390791,26.79847356,29.38264087,12.56254501,65.91959938,-18.58108108,-0.615484289,3.054294118,0.257937964,80.01555588,48,12,36
603881.SH,30.9,31.48,30.61,31.15,0.5812,166478.58,518833.339,1346502.3,-0.130795402,12177.70124,29.91064842,56.99714122,28.01132744,1.069700883,4.392374948,1.103881575,0.983356563,0.120525012,28.0430198,30.68353215,11.86685052,67.94928892,-10.28037383,2.19816273,3.190676471,0.356684194,93.70742408,100,8,92
603881.SH,31.3,31.36,30.53,30.97,-0.6416,142987.95,441458.361,1203514.35,-0.105608474,11351.44663,29.8885863,49.49768416,24.02323884,1.045730795,4.395089119,1.124942769,1.011673804,0.113268965,29.06759024,29.03173235,11.74689368,66.32025385,-15.88785047,2.380165289,3.254,0.324893906,89.47739411,96,4,92
603881.SH,30.8,31.58,30.43,31.17,-1.8886,211566.19,659433.234,1415080.54,-0.118334754,12717.71198,29.9205707,60.40683774,19.43193073,1.056157715,4.382100217,1.14457826,1.038254695,0.106323565,30.16842034,28.29553586,10.87347059,67.2594865,-12.38670695,7.187070151,3.287911765,0.294850518,99.49626797,100,0,100
603881.SH,33,33,31.72,31.77,-4.4511,260205.78,834864.047,1675286.32,-0.138824255,17726.48542,30.17460923,74.63621233,11.65684633,1.133541944,4.34910066,1.194781812,1.069560119,0.125221694,31.98991959,33.86741059,9.644555735,69.96550431,-26.00422833,10.96751659,3.408088235,0.350873254,191.4556719,100,0,100
603881.SH,33.17,33.63,32.8,33.25,0.7271,249558.24,827631.534,1924844.56,-0.129498488,29352.11322,30.59364052,83.76441361,14.82432375,1.206187749,4.063625711,1.338562011,1.123360497,0.215201514,33.95945321,33.86780219,8.582790157,75.37254714,-7.089552239,16.42156863,3.637970588,0.637425427,227.3955148,100,0,100
603881.SH,33.55,33.94,33,33.01,-0.121,300259.53,1004359.342,1624585.03,-0.196095476,27184.82638,31.00786002,89.4132814,16.77317537,1.179568974,3.576219056,1.416810747,1.182050547,0.2347602,35.91677058,33.8175431,8.097610176,73.07511248,-17.03296703,12.27891156,3.884735294,0.688332752,191.6033058,100,8,92
603881.SH,32.72,33.05,32.4,33.05,2.1007,231119.06,757062.947,1855704.09,-0.112287546,27464.88583,31.29515328,80.58736608,18.33461027,1.126612077,2.969095796,1.465161629,1.238672764,0.226488866,36.75641047,32.45145491,11.49934751,73.22161591,-17.62376238,14.04416839,4.029117647,0.648289123,135.1850484,96,4,92
603881.SH,33.36,33.36,32.35,32.37,-3.4308,239932.56,782911.935,1615771.53,-0.186542878,22528.30064,31.52449826,72.24828024,19.028106,1.114950869,2.774195637,1.432101362,1.277358483,0.154742879,37.70456791,32.3401188,10.77124066,66.58837322,-31.08910891,10.51553431,4.176617647,0.407685055,110.9624162,92,0,92
603881.SH,33.48,33.85,33.26,33.52,-0.5636,281258.23,942097.265,1897029.76,-0.201554087,32520.48366,31.83483507,78.20828201,20.67649101,1.151455782,2.240246774,1.481617091,1.318210205,0.163406886,38.83936462,32.40988443,9.792760397,71.32026986,-8.936170213,12.52098019,4.171647059,0.425158669,133.6186285,88,0,88
603881.SH,35.02,35.23,33.33,33.71,-3.4097,599474.14,2038606.59,2496503.9,-0.33376862,35918.4576,32.32609957,81.61122729,22.13253175,1.226310204,1.774129981,1.518683635,1.358304891,0.160378745,40.48226023,36.8977741,8.700095638,72.02519839,-25.71912014,14.27118644,4.110823529,0.405592866,137.4433444,100,28,72
603881.SH,33,35.6,32.51,34.9,7.4838,608507.44,2066613.439,3105011.34,-0.23154276,57399.43813,32.76276977,83.9802643,23.88085412,1.412679184,1.507735354,1.625346214,1.411713156,0.213633059,40.82732484,30.86592269,11.61601312,76.00348638,-11.47540984,15.2195444,3.932529412,0.559684307,127.3667759,100,24,76
603881.SH,32,32.83,31.4,32.47,2.3322,464411.38,1506195.013,2640599.96,-0.170238255,25063.63144,32.83754454,73.88089876,22.73454218,1.621411265,2.080694954,1.496545144,1.428679553,0.067865591,39.80280194,25.73427678,14.95747222,57.89715631,-58.5046729,5.834419817,3.546705882,0.100799569,33.990718,96,20,76
603881.SH,31.19,32.22,30.72,31.73,2.7526,518140.05,1642627.57,2122459.91,-0.102916422,13255.08087,32.76154209,64.83104773,21.07431309,1.634270139,3.157560342,1.31954664,1.406852971,-0.08730633,38.13995119,23.61977586,16.92122958,53.70155771,-74.8549323,1.861958266,3.037205882,-0.380610048,-1.460782697,92,16,76
603881.SH,30.64,31.54,30.44,30.88,2.0152,424949.5,1315564.353,1697510.41,-0.128632051,1871.309207,32.66909042,58.09154323,20.19376852,1.599843125,4.406833291,1.098028762,1.345088129,-0.247059367,36.31502096,22.17345196,17.21418318,49.28369843,-91.2959381,-0.29060381,2.324205882,-0.872527624,-35.68645009,88,12,76
603881.SH,29.56,30.91,29.52,30.27,2.7844,442983.3,1348010.294,1254527.11,-0.099969394,-6879.332406,32.50539347,51.94006513,19.08870474,1.578858812,5.656108526,0.863300753,1.248730654,-0.385429901,33.76261166,20.70242451,20.46313295,46.33755617,-87.66447368,-2.887391723,1.338705882,-1.29755099,-77.12445317,84,8,76
603881.SH,30.5,30.5,29.19,29.45,-3.4426,305170.35,905286.126,949356.76,-0.11066075,-15146.25302,32.38274166,50.49093057,18.92820023,1.551972931,7.027542089,0.60414575,1.119813673,-0.515667923,31.59378484,19.39640437,20.76138208,42.6468765,-95.94383775,-7.302486623,0.339058824,-1.700190786,-105.6428308,80,4,76
603881.SH,30.26,30.95,29.91,30.5,1.7684,364398.55,1111654.008,1313755.31,-0.104777057,-2154.114565,32.30274227,51.80211831,18.43288913,1.546775638,7.793571808,0.477979914,0.991446921,-0.513467007,29.49993743,20.16173947,19.26288903,48.32275051,-79.56318253,-8.270676692,-0.176617647,-1.685386567,-70.70571976,76,0,76
603881.SH,31.02,31.14,29.9,29.97,-3.3849,303073.77,918754.828,1010681.54,-0.11558215,-7420.642372,32.19781706,46.67947054,18.00802357,1.516098074,8.659852531,0.33140577,0.859438691,-0.528032921,27.72571795,19.8695683,18.09986442,45.85590369,-87.83151326,-9.209330506,-0.539852941,-1.726077121,-79.7616777,72,0,72
603881.SH,29.7,31.17,29.59,31.02,3.6072,349269.15,1068168.63,1359950.69,-0.051411984,4816.014535,32.04740982,47.41240755,17.62431425,1.522488267,9.155408122,0.296552457,0.746861444,-0.450308987,25.77132013,18.34934258,18.21618975,51.17381888,-71.45085803,-6.142208775,-0.675088235,-1.471711591,-66.48136231,68,4,64
