,Unnamed: 0.1,Unnamed: 0,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
0,0,0,603881.SH,26.78,26.8,26.31,26.42,26.89,-0.47,-1.7479,274104.38,725328.815,-151037.10734693593,274104.38,-0.5510204081632549,0.0,0.0,0.0,0.0,26.51,50.0,1000.0,26.42,26.42,26.42,0.0,0.0,0.0,0.0,26.51,27.0,26.02,3.6967182195397976,0.40816326530612446,0.0,0.0,26.31,26.8,26.555,1.8546555639666993,0.22448979591837254,0.0,0.0,0.0,0.0,0.0,26.42,26.42,26.42,26.42,0.0,0.0,0.0,23.582976275531635,1.0,-5.529013333333335,264.66022986627735,264.66022986627735,0.0,26.555,26.555,26.555,26.555,0.0,0.0,0.0,0.0,0.0,21.301606666666668,22.281079999999996,0.0,0.0,0.0,26.31,28.86,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.448979591837254,22.448979591837254,-77.55102040816274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.42,0.0,0.0,0.0
1,1,1,603881.SH,26.81,26.95,26.5,26.89,27.04,-0.15,-0.5547,328799.42,879021.084,90082.46731973247,602903.8,0.1494143299805582,154535.72739999963,23.266464399480952,23.266464399480952,5849.194829674474,26.65724711206,100.0,1000.0,26.655,27.125,26.185000000000002,3.5265428625023363,0.75,0.0,0.0,26.645000000000003,27.115000000000002,26.175,3.5278663914430517,0.7606382978723393,0.0,0.0,26.31,26.95,26.63,2.4010504595760667,0.9062500000000021,0.0,0.0,0.03749287749287333,0.007498575498574667,0.029994301994298665,26.655,26.655,26.49230769230769,26.454814814814817,0.09939411007069418,0.04659098909563796,0.05280312097505622,0.003474522142311586,1.986895986895986,-5.7640133333333345,275.9091001924914,270.28466502938437,5.624435163107023,26.63,26.63,26.63,26.63,0.0,0.0,0.0,0.0,66.66666666666579,21.301606666666668,22.281079999999996,4.0,0.0,4.0,26.31,28.86,0.0,0.0,100.0,0.0,0.0,0.0,100.0,46.078431372548934,90.62500000000021,56.536989795918736,-9.374999999999792,0.0,0.0,0.1417242107167469,0.028344842143349383,0.11337936857339752,1.5685943212923197,0.31371886425846396,1.2548754570338558,26.71792694052645,1.778955336866006,1.7633171186594243,1.778955336866006
2,2,2,603881.SH,27.77,27.99,27.02,27.04,27.83,-0.79,-2.8387,453556.9,1240793.683,-344771.0553606803,1056460.7000000002,-0.3263453674714831,142178.27134285675,166.81479214625517,95.04062827286806,8379.263070656229,26.954657940801773,100.0,1000.0,26.78333333333333,27.311558874387735,26.255107792278928,3.944434656286775,0.742951776010612,0.0,0.0,26.88,27.516666666666666,26.243333333333336,4.7371031746031615,0.6256544502617791,0.0,0.0,26.31,27.99,27.15,6.27255756067206,0.43452380952380987,0.0,0.0,0.07840618176800263,0.02168009675246026,0.05672608501554237,26.78333333333333,26.78333333333333,26.576568047337275,26.498161865569273,0.2825303399560685,0.04907804027405901,0.2334522996820095,0.010229155254742913,3.1309035662422655,-5.892346666666665,282.0521002997146,274.2071434528278,7.8449568468868165,27.15,27.15,27.15,27.15,0.0,0.0,0.0,0.0,100.00000000000038,21.301606666666668,22.281079999999996,8.0,0.0,8.0,26.31,28.86,1.0,0.0,100.0,0.0,0.0,0.0,100.0,29.245283018867838,43.452380952380985,52.17545351473948,-56.547619047619015,0.0,0.0,0.29589290821670433,0.08185445535802038,0.21403845285868395,6.073872468593425,1.4657495851254563,4.608122883467969,26.902978314454952,0.5578281889178083,0.556278089398976,2.346707040121121
3,3,3,603881.SH,27.81,27.98,27.38,27.83,28.07,-0.24,-0.855,438206.8,1214125.954,-125667.65536068287,1494667.5000000002,-0.08407733182174823,171321.85715102003,23.96128950988453,71.34751535187355,21181.90256769761,27.181972820309532,100.0,1029.215976331361,27.045,28.06033245786786,26.02966754213214,7.50846705762884,0.8865728874897054,0.0,0.0,27.0925,27.72,26.465,4.632278305804186,1.087649402390438,1.0,0.0,26.31,27.99,27.15,6.211869107043815,0.9047619047619047,0.0,0.0,0.17258719016853874,0.05186151543567596,0.12072567473286278,27.045,27.045,26.76940373236231,26.59681654219377,0.36442919459182366,0.11557948566342634,0.2488497089283973,0.024708690612631406,4.2489616758413815,-6.154013333333335,294.5774381806763,279.29971713478994,15.27772104588638,27.15,27.15,27.15,27.15,0.0,0.0,0.0,0.0,94.97206703910628,21.301606666666668,22.281079999999996,8.0,0.0,8.0,26.3772,28.86,0.0,0.0,100.0,0.0,0.0,0.0,100.0,46.078431372548934,90.47619047619045,74.85119047619055,-9.523809523809534,0.0,0.0,0.6489016830068465,0.1952639008877856,0.45363778211906086,8.838023697023768,2.940204407505119,5.897819289518649,27.469000112260975,2.921597633136086,2.8797324363035948,5.336866010598018
4,4,4,603881.SH,28.3,28.86,27.56,28.07,27.99,0.08,0.2858,694568.92,1954292.549,-275267.1150529892,2189236.4200000004,-0.12573658675612076,170661.0976723031,99.19821923503277,78.31019132266336,27171.71718501704,27.493324534283666,100.0,1029.215976331361,27.25,28.473568551410175,26.026431448589825,8.980319643377427,0.8350854347535095,0.0,0.0,27.306666666666665,28.068666666666665,26.544666666666664,5.581054687500004,1.0008748906386713,1.0,0.0,26.31,28.86,27.585,9.357798165137618,0.690196078431373,0.0,0.0,0.26355422307302234,0.09420005696314523,0.1693541661098771,27.25,27.25,26.969495465845032,26.70594124277201,0.4673273104580422,0.14316372749261708,0.32416358296542513,0.045457713394892275,5.540096455830695,-6.359013333333333,304.39028250779916,284.31783020939173,20.072452298407427,27.585,27.585,27.585,27.585,0.0,0.0,0.0,0.0,107.89252728799399,21.301606666666668,22.281079999999996,16.0,0.0,16.0,26.441712,28.86,0.0,0.0,100.0,0.0,0.0,0.0,100.0,44.036697247706385,69.01960784313731,67.64939309056957,-30.980392156862703,0.0,0.0,0.9868748705659403,0.3535860948234165,0.6332887757425237,16.27830835545192,5.6078251970944795,10.67048315835744,27.82564659787547,0.8623787279913753,0.8586814835991774,6.245268735806198
5,5,5,603881.SH,26.65,28.0,26.57,27.99,26.78,1.21,4.5183,770874.78,2121443.314,484826.1994924636,1418361.6400000004,0.16378648190394454,137470.9433762596,-171.59077379597218,28.32999829893625,24974.710330724145,27.500271382687693,71.384905528519,1029.215976331361,27.373333333333335,28.61905490022628,26.12761176644039,9.101716270528103,0.7475138438056993,0.0,0.0,27.342222222222222,28.215555555555554,26.468888888888888,6.388166449934979,0.8708651399491095,0.0,0.0,26.31,28.86,27.585,9.315635655138824,0.6588235294117644,0.0,0.0,0.32543945713695166,0.14044793699790653,0.18499152013904513,27.373333333333335,27.373333333333335,27.12649616340733,26.80105670627038,0.4441877894756754,0.32715627608088665,0.11703151339478873,0.0688156217234322,6.930559018465644,-6.482346666666668,310.2939449485073,288.64718266591103,21.646762282596285,27.585,27.585,27.585,27.585,0.0,0.0,0.0,0.0,25.49800796812741,21.301606666666668,22.281079999999996,16.0,0.0,16.0,26.441712,28.86,0.0,1.0,94.49626422974674,0.0,0.0,0.0,99.61747716382192,56.99658703071666,65.88235294117644,75.12605042016806,-34.11764705882356,0.15433333333333366,0.0,1.2142784544044183,0.5257245667396169,0.6885538876648014,22.185874076919347,8.923434973059454,13.262439103859894,27.919581582709732,-0.2850017812611405,-0.28540868464288494,5.942467827403464
6,6,6,603881.SH,27.4,27.58,26.57,26.78,27.01,-0.23,-0.8515,499884.67,1343296.43,192814.36256177176,918476.9700000004,0.05572676089979603,31423.60136536557,-42.42978685463598,16.53670077334088,3364.8335640218247,27.424623323986797,60.3986808926316,984.7232528100697,27.28857142857143,28.514362301969545,26.062780555173315,8.98391384544739,0.29255375463778066,0.0,0.0,27.29,28.18285714285714,26.397142857142857,6.5434748468826855,0.21440000000000095,0.0,0.0,26.31,28.86,27.585,9.344571249083868,0.18431372549019698,0.0,0.0,0.27369211109431646,0.16709677181718852,0.10659533927712794,27.28857142857143,27.28857142857143,27.073189061344667,26.79949695025035,0.4740525773130932,0.40318092954203283,0.07087164777106036,0.08382381435550833,8.251466308740904,-6.397584761904763,306.23660164948785,291.159956806422,15.076644843065878,27.585,27.585,27.585,27.585,0.0,0.0,0.0,0.0,-45.59944559944502,21.301606666666668,22.281079999999996,16.0,0.0,16.0,26.441712,28.86,0.0,0.0,49.82734801738795,0.0,0.0,0.0,93.58520668977668,48.763736263736234,18.4313725490197,51.11111111111114,-81.5686274509803,0.2602857142857147,0.0,1.021258390045115,0.6248313314007166,0.39642705864439853,21.172597534400943,11.373267485327752,9.799330049073191,27.57540357913322,-4.322972490175047,-4.41919632643355,1.362604087812258
7,7,7,603881.SH,25.9,27.32,25.61,27.01,26.12,0.89,3.4074,671649.13,1788546.108,620941.5857781472,1590126.1000000006,0.15028919129744864,49002.98687031338,-155.304303007137,-8.012014052441677,9133.291364619341,27.29815701043208,50.15446094489106,984.7232528100697,27.25375,28.415082747320938,26.092417252679063,8.522370296351419,0.39505591719414523,0.0,0.0,27.209583333333335,28.204583333333332,26.214583333333334,7.313599681484765,0.3997068676716928,0.0,0.0,25.61,28.86,27.235,11.924964454432876,0.4307692307692314,0.0,0.0,0.24837789854131742,0.1833529971620143,0.06502490137930311,27.25375,27.25375,27.063467667291643,26.815089768750326,0.4698448008468774,0.49205312230492776,-0.02220832145805035,0.09412248185414113,9.654917500527795,-6.3627633333333335,304.5697857576856,292.83618542533,11.73360033235565,27.235,27.235,27.235,27.235,0.0,0.0,0.0,0.0,-77.97979797979846,21.301606666666668,22.281079999999996,16.0,28.000000000000004,-12.000000000000004,26.441712,28.8142,0.0,0.0,54.25395976722402,0.0,0.0,0.0,88.88946840983219,56.87495910488779,43.076923076923144,42.46354952237309,-56.923076923076856,0.15549999999999997,0.0,0.9262616708849178,0.6851173992975569,0.24114427158736096,22.91942905917,13.682499800096203,9.236929259073797,27.415510144470044,0.8588498879761097,0.8551827541497747,2.233156699470107
8,8,8,603881.SH,26.38,26.53,25.81,26.12,26.36,-0.24,-0.9105,473690.54,1238797.971,555151.233000371,1116435.5600000005,0.12054523023969954,-18223.80848258856,-44.83940084596173,-12.615437401631684,-6475.1714491533385,27.180403995239256,44.88475138684673,952.275874246539,27.12777777777778,28.434164747086736,25.821390808468824,9.631360003096955,0.11428818510381104,0.0,0.0,27.092222222222222,28.056666666666665,26.12777777777778,7.119714555222886,-0.004032258064516768,0.0,1.0,25.61,28.86,27.235,11.980339954945729,0.15692307692307741,0.0,0.0,0.1547171576688413,0.17762582926337972,-0.02290867159453841,27.12777777777778,27.12777777777778,26.918318795400623,26.76360163773178,0.49266406759854997,0.550963716690186,-0.058299649091635986,0.09407832173999986,10.891010939904815,-6.236791111111113,298.53980621520566,293.46992106864946,5.069885146556203,27.235,27.235,27.235,27.235,0.0,0.0,0.0,0.0,-117.63341067285364,21.301606666666668,22.281079999999996,16.0,28.000000000000004,-12.000000000000004,26.441712,28.686032,0.0,0.0,39.669067613066005,0.0,0.0,0.0,81.27521978416252,51.97141520947765,15.69230769230774,25.73353443941686,-84.30769230769225,-0.03344444444444861,0.0,0.5780879560347305,0.6637115106449917,-0.08562355461026117,20.661158374623724,15.078231515001708,5.582926859622017,27.169135904426373,-3.2950758978156247,-3.350586339629391,-1.1355034065102187
9,9,9,603881.SH,25.97,26.8,25.65,26.36,25.96,0.4,1.5408,621298.67,1622352.565,701021.3555221097,1737734.2300000004,0.13412481672829935,5681.261414923951,10.180288974383252,-10.082578915407801,-766.4547263355453,27.072182763624724,51.586421328413614,952.275874246539,27.051,28.373193631810405,25.72880636818959,9.775561951945637,0.2386918287248704,0.0,0.0,27.01,27.993000000000002,26.026999999999997,7.278785634950036,0.1693794506612417,0.0,0.0,25.61,28.86,27.235,12.014343277512847,0.23076923076923078,1.1340000000000003,0.0,0.09871837598619848,0.1618443386079435,-0.06312596262174502,27.051,27.051,26.832423596108217,26.73370522012202,0.5179302520593895,0.5656657591616374,-0.04773550710224794,0.08871183366890155,12.100072429332407,-6.160013333333332,294.8646433804946,296.8259670146736,-1.9613236341789957,27.235,27.235,27.235,27.235,0.0,0.0,0.0,0.0,-90.5752753977971,21.301606666666668,22.281079999999996,16.0,28.000000000000004,-12.000000000000004,26.441712,28.562990720000002,0.0,0.0,44.03795897080262,0.0,0.0,0.0,75.43791316565834,55.720089915937464,23.076923076923077,27.282051282051317,-76.92307692307692,-0.34550000000000125,0.0,0.36926559627019,0.6048223277700314,-0.2355567314998414,20.995440807570912,16.26167337351555,4.733767434055363,27.018980768376096,0.9188361408882129,0.9146405226076126,-0.2271006813020504
